pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
3,female,30.0,1,0,15.55,,S, Mrs
3,female,18.0,1,0,17.8,,S, Mrs
3,male,,0,0,7.75,,Q, Mr
1,female,24.0,0,0,69.3,B,C, Mlle
3,male,,0,0,15.1,,S, Mr
3,male,,1,0,7.75,,Q, Mr
2,male,23.0,0,0,10.5,,S, Mr
2,female,24.0,2,1,27.0,,S, Mrs
2,male,1.0,2,1,39.0,F,S, Master
1,female,17.0,1,0,108.9,C,C, Mrs
1,male,71.0,0,0,34.6542,A,C, Mr
1,female,35.0,1,0,53.1,C,S, Mrs
3,male,9.0,0,2,20.525,,S, Master
1,female,30.0,0,0,93.5,B,S, Miss
2,male,23.0,0,0,15.0458,,C, Mr
1,male,35.0,0,0,26.2875,E,S, Mr
3,male,,1,0,7.75,,Q, Mr
3,male,,0,0,7.75,,Q, Mr
1,female,38.0,0,0,227.525,C,C, Miss
3,female,26.0,0,0,7.925,,S, Miss
3,male,32.0,0,0,8.05,,S, Mr
1,female,33.0,0,0,151.55,,S, Miss
3,male,,0,0,7.7333,,Q, Mr
3,male,,0,0,6.8583,,Q, Mr
1,male,,0,0,0.0,,S, Mr
2,female,60.0,1,0,26.0,,S, Mrs
1,female,48.0,1,3,262.375,B,C, Mrs
1,female,24.0,0,0,49.5042,C,C, Mlle
2,male,36.0,1,2,27.75,,S, Mr
3,male,36.0,0,0,7.25,,S, Mr
2,female,29.0,1,0,26.0,,S, Mrs
3,male,59.0,0,0,7.25,,S, Mr
3,male,19.0,0,0,8.1583,,S, Mr
3,male,42.0,0,0,7.65,F,S, Mr
2,female,8.0,1,1,26.0,,S, Miss
2,male,2.0,1,1,23.0,,S, Master
3,male,7.0,1,1,15.2458,,C, Master
1,male,4.0,0,2,81.8583,A,S, Master
3,male,18.0,2,2,34.375,,S, Mr
3,female,18.5,0,0,7.2833,,Q, Miss
2,female,34.0,0,1,23.0,,S, Mrs
3,male,,0,0,7.8958,,S, Mr
3,female,31.0,1,1,20.525,,S, Mrs
3,male,39.0,0,0,24.15,,S, Mr
3,male,51.0,0,0,7.75,,S, Mr
1,female,25.0,1,2,151.55,C,S, Mrs
2,male,19.0,1,1,36.75,,S, Mr
1,male,47.0,0,0,25.5875,E,S, Mr
1,female,24.0,0,0,83.1583,C,C, Miss
1,male,42.0,0,0,26.55,D,S, Mr
3,male,,0,0,7.25,,S, Mr
3,male,,0,0,8.05,,S, Mr
2,male,36.0,0,0,13.0,,S, Mr
2,male,,0,0,0.0,,S, Mr
3,male,28.0,0,0,56.4958,,S, Mr
3,female,22.0,0,0,7.775,,S, Miss
3,female,,3,1,25.4667,,S, Miss
3,female,,0,0,7.7875,,Q, Miss
1,male,55.0,1,1,93.5,B,S, Mr
3,female,18.0,0,1,14.4542,,C, Miss
1,male,61.0,1,3,262.375,B,C, Mr
3,male,3.0,4,2,31.3875,,S, Master
3,male,44.0,0,0,7.925,,S, Mr
1,male,,0,0,0.0,B,S, Mr
1,male,,0,0,0.0,,S, Mr
3,male,27.0,0,0,7.8542,,S, Mr
3,female,39.0,0,5,29.125,,Q, Mrs
2,male,46.0,0,0,26.0,,S, Mr
1,male,30.0,1,0,57.75,C,C, Mr
3,female,27.0,0,0,7.8792,,Q, Miss
3,male,17.0,0,0,8.6625,,S, Mr
3,female,24.0,0,3,19.2583,,C, Mrs
1,female,58.0,0,0,146.5208,B,C, Miss
3,male,26.5,0,0,7.225,,C, Mr
2,female,36.0,0,0,13.0,,S, Miss
3,male,24.0,0,0,8.05,,S, Mr
3,male,,1,0,6.4375,,C, Mr
1,female,22.0,0,1,55.0,E,S, Miss
2,male,23.0,2,1,11.5,,S, Mr
1,female,33.0,1,0,53.1,E,S, Mrs
1,male,,0,0,227.525,,C, Mr
3,male,,0,0,7.2292,,C, Mr
1,male,,0,0,42.4,,S, Mr
3,male,33.0,0,0,7.8958,,S, Mr
1,male,30.0,0,0,45.5,,S, Mr
3,male,20.0,0,0,8.05,,S, Mr
3,female,,0,0,7.7333,,Q, Miss
1,female,30.0,0,0,106.425,,C, Miss
3,male,32.0,0,0,7.775,,S, Mr
3,female,17.0,0,0,14.4583,,C, Miss
2,male,34.0,0,0,13.0,,S, Mr
2,female,17.0,0,0,10.5,,S, Miss
3,male,40.0,1,5,31.3875,,S, Mr
3,male,,2,0,23.25,,Q, Mr
3,male,0.8333,0,1,9.35,,S, Master
3,female,26.0,0,2,13.775,,S, Mrs
1,male,24.0,0,0,79.2,B,C, Mr
1,male,39.0,0,0,0.0,A,S, Mr
3,male,,0,0,7.8958,,S, Mr
3,male,19.0,0,0,14.5,,S, Mr
3,female,24.0,0,0,7.75,,Q, Miss
3,male,,0,0,7.75,,Q, Mr
1,male,,0,0,26.0,A,S, Mr
3,male,19.0,0,0,7.8958,,S, Mr
1,male,38.0,0,0,0.0,,S, Jonkheer
1,male,,0,0,27.7208,,C, Mr
3,male,20.0,0,0,7.8542,,S, Mr
2,female,,0,0,21.0,,S, Mrs
1,male,60.0,1,1,79.2,B,C, Mr
3,male,,0,0,7.8958,,S, Mr
3,male,21.0,0,0,7.775,,S, Mr
3,male,22.0,0,0,7.225,,C, Mr
2,female,24.0,0,0,13.0,F,S, Miss
2,male,25.0,0,0,10.5,,S, Mr
3,female,,0,4,25.4667,,S, Mrs
2,female,29.0,0,2,23.0,,S, Mrs
1,female,21.0,0,0,77.9583,D,S, Miss
1,female,18.0,1,0,53.1,D,S, Mrs
3,male,22.0,0,0,7.25,,S, Mr
1,male,,0,0,52.0,A,S, Mr
3,male,27.0,0,0,7.7958,,S, Mr
3,female,,1,0,15.5,,Q, Miss
3,male,35.0,0,0,7.8958,,S, Mr
2,male,3.0,1,1,26.0,F,S, Master
2,female,,0,0,12.35,E,Q, Miss
3,female,45.0,1,0,14.1083,,S, Mrs
3,male,21.0,0,0,8.05,,S, Mr
2,female,25.0,0,1,26.0,,S, Mrs
3,male,,0,0,7.225,,C, Mr
3,male,30.0,0,0,8.05,,S, Mr
3,male,39.0,0,1,13.4167,,C, Mr
1,female,55.0,0,0,27.7208,,C, Mrs
2,female,31.0,1,1,26.25,,S, Mrs
3,male,22.0,0,0,9.35,,S, Mr
3,male,,0,0,7.775,,S, Mr
3,female,,0,0,7.75,,Q, Miss
3,male,17.0,0,0,8.6625,,S, Mr
3,female,40.0,1,0,9.475,,S, Mrs
2,female,34.0,0,0,10.5,F,S, Mrs
3,male,21.0,0,0,7.7333,,Q, Mr
1,female,45.0,0,0,262.375,,C, Miss
3,male,28.0,0,0,9.5,,S, Mr
1,female,60.0,0,0,76.2917,D,C, Mrs
3,male,,0,0,7.8958,,C, Mr
3,male,,0,0,7.75,,Q, Mr
1,female,35.0,1,0,52.0,,S, Mrs
2,female,29.0,1,0,26.0,,S, Mrs
3,male,29.0,0,0,7.8542,,S, Mr
3,male,21.0,0,0,7.925,,S, Mr
3,male,,3,1,25.4667,,S, Master
3,male,43.0,0,0,7.8958,,S, Mr
2,female,3.0,1,2,41.5792,,C, Miss
1,male,46.0,0,0,75.2417,C,C, Mr
3,female,22.0,0,0,7.25,,S, Miss
2,male,62.0,0,0,10.5,,S, Mr
3,male,,0,0,7.2292,,C, Mr
2,male,34.0,1,0,21.0,,S, Mr
2,female,12.0,2,1,39.0,F,S, Miss
1,male,33.0,0,0,5.0,B,S, Mr
2,female,33.0,1,2,27.75,,S, Mrs
3,female,0.75,2,1,19.2583,,C, Miss
3,male,19.0,0,0,7.8958,,S, Mr
3,male,7.0,4,1,39.6875,,S, Master
3,female,1.0,1,1,11.1333,,S, Miss
3,male,,0,0,8.05,,S, Mr
3,male,9.0,0,1,3.1708,,S, Master
3,male,25.0,0,0,7.8958,,S, Mr
2,male,42.0,0,0,13.0,,S, Mr
3,male,24.0,0,0,7.25,,Q, Mr
3,female,,0,0,7.75,,Q, Miss
3,male,30.5,0,0,8.05,,S, Mr
2,female,7.0,0,2,26.25,,S, Miss
1,female,36.0,0,0,262.375,B,C, Miss
3,male,21.0,0,0,7.925,,S, Mr
1,male,64.0,1,0,75.25,D,C, Mr
3,male,26.0,0,0,7.775,,S, Mr
3,male,18.0,0,0,7.75,,S, Mr
1,female,28.0,3,2,263.0,C,S, Miss
1,female,55.0,0,0,135.6333,C,C, Mrs
3,male,6.0,1,1,15.2458,,C, Master
3,male,,0,0,7.25,,S, Mr
1,male,36.0,0,0,40.125,A,C, Mr
3,female,,0,0,7.2292,,C, Mrs
1,female,,0,1,55.0,E,S, Mrs
3,female,16.0,0,0,7.7333,,Q, Miss
1,male,39.0,0,0,29.7,A,C, Mr
3,male,,1,0,19.9667,,S, Mr
3,male,14.5,8,2,69.55,,S, Master
3,male,22.0,0,0,7.8958,,S, Mr
2,male,18.0,0,0,13.0,,S, Mr
1,male,61.0,0,0,33.5,B,S, Mr
1,female,30.0,0,0,31.0,,C, Miss
3,male,13.0,0,2,20.25,,S, Master
2,male,35.0,0,0,12.35,,Q, Mr
3,male,40.0,1,4,27.9,,S, Mr
1,male,48.0,0,0,26.55,E,S, Mr
2,male,30.0,0,0,10.5,,S, Mr
3,female,,0,0,7.75,,Q, Miss
3,male,22.0,0,0,7.125,,S, Mr
3,female,18.0,0,0,7.4958,,S, Miss
2,male,36.0,0,0,12.875,D,C, Mr
2,male,30.0,0,0,13.0,,S, Mr
2,female,36.0,0,3,39.0,F,S, Mrs
2,male,34.0,1,0,26.0,,S, Mr
3,female,,8,2,69.55,,S, Miss
2,male,17.0,0,0,73.5,,S, Mr
2,female,19.0,0,0,13.0,,S, Miss
3,female,9.0,4,2,31.275,,S, Miss
3,male,34.5,0,0,6.4375,,C, Mr
2,female,42.0,0,0,13.0,,S, Mrs
3,male,,1,2,23.45,,S, Master
3,female,,1,2,23.45,,S, Mrs
3,male,,0,0,56.4958,,S, Mr
3,male,36.0,0,0,7.8958,,S, Mr
3,male,48.0,0,0,7.8542,,S, Mr
3,female,,0,0,7.75,,Q, Miss
1,female,,1,0,51.8625,D,S, Mrs
3,male,,0,0,56.4958,,S, Mr
3,male,,8,2,69.55,,S, Mr
2,male,32.0,0,0,10.5,,S, Mr
3,male,18.0,1,0,14.4542,,C, Mr
2,female,4.0,2,1,39.0,F,S, Miss
1,female,30.0,0,0,164.8667,C,S, Miss
1,male,36.0,0,0,75.2417,C,C, Mr
2,female,17.0,0,0,12.0,,C, Miss
2,male,52.0,0,0,13.0,,S, Mr
2,female,40.0,1,1,39.0,,S, Mrs
2,male,18.0,0,0,11.5,,S, Mr
3,female,,0,0,7.8292,,Q, Miss
3,female,23.0,0,0,8.05,,S, Miss
3,female,18.0,2,0,18.0,,S, Miss
3,male,,0,0,8.1125,,S, Mr
3,male,32.5,0,0,9.5,,S, Mr
1,male,58.0,0,0,29.7,B,C, Mr
3,female,,1,2,23.45,,S, Miss
3,female,,2,0,23.25,,Q, Miss
1,female,19.0,1,0,91.0792,B,C, Mrs
3,male,32.0,0,0,7.8958,,S, Mr
3,female,14.5,1,0,14.4542,,C, Miss
3,male,70.5,0,0,7.75,,Q, Mr
3,female,,0,0,7.75,,Q, Miss
3,male,25.0,1,0,7.775,,S, Mr
3,male,,0,0,7.2292,F,C, Mr
1,female,,1,0,146.5208,B,C, Mrs
3,male,41.0,0,0,7.125,,S, Mr
3,female,22.0,1,0,13.9,,S, Mrs
2,male,32.5,1,0,30.0708,,C, Mr
3,female,45.0,0,0,7.75,,S, Miss
2,male,3.0,1,1,18.75,,S, Master
2,male,18.0,0,0,10.5,,S, Mr
3,male,34.0,0,0,6.4958,,S, Mr
3,male,,2,0,21.6792,,C, Mr
1,female,48.0,0,0,25.9292,D,S, Mrs
1,male,27.0,0,0,30.5,,S, Mr
2,female,32.5,0,0,13.0,E,S, Miss
3,female,29.0,0,0,7.925,,S, Miss
2,male,0.6667,1,1,14.5,,S, Master
3,male,20.0,0,0,7.225,,C, Mr
3,male,,8,2,69.55,,S, Mr
3,male,,0,0,8.05,,S, Mr
3,female,5.0,4,2,31.3875,,S, Miss
1,female,31.0,0,0,134.5,E,C, Miss
3,male,17.0,0,0,8.6625,,S, Mr
3,male,26.0,0,0,7.8958,,S, Mr
2,male,26.0,0,0,13.0,,S, Mr
3,female,9.0,2,2,34.375,,S, Miss
2,male,48.0,0,0,13.0,,S, Mr
2,male,0.8333,1,1,18.75,,S, Master
2,male,,0,0,0.0,,S, Mr
3,male,21.0,0,0,8.6625,,S, Mr
3,female,41.0,0,2,20.2125,,S, Mrs
3,female,24.0,0,2,16.7,G,S, Mrs
1,male,,0,0,35.5,C,S, Mr
3,male,21.0,0,0,8.4333,,S, Mr
3,female,26.0,1,0,16.1,,S, Mrs
3,male,28.0,0,0,22.525,,S, Mr
3,male,27.0,0,0,8.6625,,S, Mr
3,female,1.0,1,1,16.7,G,S, Miss
3,female,28.0,1,1,14.4,,S, Mrs
3,female,31.0,0,0,8.6833,,S, Mrs
3,male,33.0,0,0,7.8958,,C, Mr
1,female,25.0,1,0,55.4417,E,C, Mrs
3,male,30.0,0,0,7.25,,S, Mr
3,female,2.0,0,1,12.2875,,S, Miss
3,male,25.0,0,0,7.05,,S, Mr
1,male,62.0,0,0,26.55,,S, Mr
2,male,25.0,0,0,13.0,,S, Mr
1,male,6.0,0,2,134.5,E,C, Master
2,male,61.0,0,0,12.35,,Q, Mr
3,male,,0,0,7.8958,,S, Mr
3,male,29.0,0,0,7.775,,S, Mr
1,male,51.0,0,0,26.55,E,S, Mr
3,male,28.0,0,0,7.25,,S, Mr
1,male,56.0,0,0,30.6958,A,C, Mr
1,female,45.0,0,1,59.4,,C, Mrs
3,male,25.0,0,0,0.0,,S, Mr
3,female,33.0,1,2,20.575,,S, Mrs
3,male,16.0,2,0,18.0,,S, Mr
3,male,41.0,2,0,14.1083,,S, Mr
3,male,29.0,0,0,7.8958,,C, Mr
3,male,30.0,0,0,9.5,,S, Mr
2,male,43.0,1,1,26.25,,S, Mr
3,male,39.0,0,2,7.2292,,C, Mr
3,male,,1,0,24.15,,Q, Mr
1,male,25.0,1,0,55.4417,E,C, Mr
1,male,34.0,0,0,26.55,,S, Mr
3,female,26.0,0,0,7.8542,,S, Miss
3,female,39.0,1,5,31.275,,S, Mrs
3,female,4.0,0,2,22.025,,S, Miss
2,female,44.0,1,0,26.0,,S, Mrs
3,male,,0,0,7.2292,,C, Mr
3,male,,0,0,7.8958,,S, Mr
1,female,,1,0,52.0,C,S, Mrs
2,male,16.0,0,0,26.0,,S, Mr
3,male,,0,0,7.25,,S, Mr
1,male,,0,0,39.6,,S, Mr
3,male,,0,0,7.8958,,S, Mr
3,male,23.0,1,0,13.9,,S, Mr
3,male,,1,0,14.4583,,C, Mr
1,male,24.0,0,1,247.5208,B,C, Mr
3,female,16.0,1,1,8.5167,,C, Mrs
2,female,28.0,0,0,13.0,,S, Miss
2,female,42.0,1,0,26.0,,S, Mrs
2,male,39.0,0,0,13.0,,S, Mr
2,male,21.0,0,0,13.0,,S, Mr
3,female,38.0,1,5,31.3875,,S, Mrs
3,female,21.0,0,0,7.75,,Q, Miss
3,female,17.0,0,0,7.7333,,Q, Miss
2,male,,0,0,13.8625,,C, Mr
3,female,,0,0,7.75,,Q, Miss
3,female,,1,0,15.5,,Q, Mrs
1,male,,0,0,25.925,,S, Mr
2,male,23.0,0,0,13.0,,S, Mr
3,male,0.3333,0,2,14.4,,S, Master
3,male,24.0,1,0,16.1,,S, Mr
3,female,14.0,1,0,11.2417,,C, Miss
2,female,24.0,1,1,37.0042,,C, Mrs
3,male,,0,0,7.75,,Q, Mr
1,female,22.0,1,0,66.6,C,S, Mrs
2,male,,0,0,13.0,,S, Mr
1,female,,0,0,27.7208,,C, Mrs
3,male,,1,0,15.5,,Q, Mr
1,male,57.0,1,1,164.8667,,S, Mr
2,male,19.0,0,0,10.5,,S, Mr
3,male,9.0,1,1,15.9,,S, Master
3,female,,2,0,23.25,,Q, Miss
2,male,34.0,1,0,26.0,,S, Mr
3,male,20.5,0,0,7.25,,S, Mr
3,male,4.0,4,1,29.125,,Q, Master
1,female,42.0,0,0,227.525,,C, Miss
3,male,,0,0,6.95,,Q, Mr
2,male,,0,0,15.0458,D,C, Mr
3,male,,1,0,16.1,,S, Mr
3,male,26.0,0,0,7.775,,S, Mr
3,male,26.0,0,0,7.8958,,S, Mr
2,male,29.0,0,0,10.5,,S, Mr
1,male,27.0,1,0,53.1,E,S, Mr
3,male,,1,2,23.45,,S, Mr
1,female,52.0,1,1,93.5,B,S, Mrs
3,male,39.0,0,0,7.925,,S, Mr
2,male,,0,0,12.875,,S, Mr
3,female,,0,0,7.6292,,Q, Miss
1,male,53.0,0,0,28.5,C,C, Col
3,male,29.0,1,0,7.0458,,S, Mr
3,female,,0,0,7.75,,Q, Ms
1,male,43.0,1,0,27.7208,D,C, Mr
2,male,21.0,0,0,73.5,,S, Mr
3,male,,0,0,8.05,,S, Mr
3,male,22.0,0,0,7.225,,C, Mr
3,male,24.0,0,0,7.55,,S, Mr
3,male,36.0,0,0,9.5,,S, Mr
3,female,22.0,0,0,7.75,,Q, Miss
1,male,23.0,0,0,93.5,B,S, Mr
1,female,54.0,1,1,81.8583,A,S, Mrs
2,female,24.0,1,0,27.7208,,C, Mrs
3,male,13.0,4,2,31.3875,,S, Master
3,male,20.0,0,0,8.6625,,S, Mr
3,female,,0,0,7.7792,,Q, Miss
1,male,36.0,1,0,78.85,C,S, Mr
2,male,30.0,0,0,13.0,,S, Mr
3,female,3.0,3,1,21.075,,S, Miss
2,male,47.0,0,0,15.0,,S, Mr
3,male,31.0,0,0,7.925,,S, Mr
3,male,,0,0,7.225,,C, Mr
3,male,,0,0,8.05,,S, Mr
2,female,36.0,1,0,26.0,,S, Mrs
3,male,30.0,0,0,7.8958,,S, Mr
3,male,28.0,0,0,22.525,,S, Mr
1,male,21.0,0,1,61.3792,,C, Mr
2,male,54.0,0,0,26.0,,S, Mr
3,male,22.0,1,0,7.25,,S, Mr
2,female,24.0,0,2,14.5,,S, Mrs
3,female,11.0,4,2,31.275,,S, Miss
3,female,23.0,0,0,8.6625,,S, Miss
1,male,46.0,0,0,26.0,,S, Mr
3,male,,0,0,7.225,,C, Mr
3,female,2.0,4,2,31.275,,S, Miss
3,female,,0,2,7.75,,Q, Miss
1,female,23.0,3,2,263.0,C,S, Miss
3,male,22.5,0,0,7.225,,C, Mr
2,male,40.0,1,0,26.0,,S, Mr
1,female,35.0,1,0,90.0,C,S, Mrs
3,female,,0,0,8.05,,S, Miss
1,female,26.0,1,0,136.7792,C,C, Mrs
3,male,19.0,0,0,8.05,,S, Mr
3,male,1.0,4,1,39.6875,,S, Master
2,male,2.0,1,1,26.0,F,S, Master
3,female,,0,2,15.2458,,C, Mrs
1,female,60.0,1,4,263.0,C,S, Mrs
3,female,,0,0,7.75,,Q, Miss
2,male,41.0,0,0,13.0,,S, Rev
3,male,24.0,0,0,7.775,,S, Mr
3,male,24.0,0,0,7.7958,,S, Mr
2,male,42.0,1,1,32.5,,S, Mr
3,female,27.0,1,0,7.925,,S, Miss
2,female,24.0,0,0,13.0,,S, Miss
3,male,33.0,0,0,8.6542,,S, Mr
2,male,59.0,0,0,13.5,,S, Mr
1,female,36.0,0,0,31.6792,A,C, Miss
1,female,62.0,0,0,80.0,B,, Mrs
3,male,,0,0,7.8958,,S, Mr
2,female,18.0,0,1,23.0,,S, Miss
1,female,23.0,0,1,83.1583,C,C, Mrs
3,male,38.0,0,0,7.05,,S, Mr
3,male,,0,0,7.2292,,C, Mr
3,female,10.0,0,2,24.15,,S, Miss
2,male,19.0,0,0,10.5,,S, Mr
3,female,30.0,0,0,7.6292,,Q, Miss
2,female,26.0,1,1,26.0,,S, Mrs
1,male,37.0,1,1,83.1583,E,C, Mr
3,female,38.0,0,0,7.2292,,C, Mrs
2,female,21.0,0,1,21.0,,S, Miss
2,male,23.0,0,0,13.0,,S, Mr
2,male,34.0,0,0,13.0,,S, Mr
3,male,,0,0,8.7125,,S, Mr
3,male,26.0,0,0,7.775,,S, Mr
